Country,Year,Risk Points for Inflation,Risk Points for GDP per Head,Risk Points for GDP Growth,Risk Points for Budget Balance,Risk Points for Current Account as % of GDP,Aggregate Economic Risk
Honduras,1991,5.33,2.5,5,5,7.5,25.33
Honduras,1992,5.08,2.5,5,5,7.5,25.08
Honduras,1993,5.75,2.5,5,5,7.5,25.75
Honduras,1994,6.08,2.4,4.79,4.79,7.19,25.25
Honduras,1995,6,2.08,4.17,4.17,6.25,22.67
Honduras,1996,4.96,2.08,4.17,4.17,6.25,21.63
Honduras,1997,4,1.56,6.08,6.08,7.98,25.7
Honduras,1998,6,0.04,8.42,8.08,9.83,32.37
Honduras,1999,6.25,0.37,5.33,6.21,9.63,27.79
Honduras,2000,6.92,0.5,6.5,5,9.5,28.42
Honduras,2001,7.33,0.5,8.25,5.5,9.67,31.25
Honduras,2002,7.83,0.5,8.58,5.5,9.58,31.99
Honduras,2003,8,0.5,5.88,5.5,9.58,29.46
Honduras,2004,8,0.5,8.08,5.75,10.5,32.83
Honduras,2005,7.75,0.5,8.92,5.92,10.33,33.42
Honduras,2006,7.92,0.5,9,6.04,10.42,33.88
Honduras,2007,8.29,0.5,9.04,6.54,10.79,35.16
Honduras,2008,7.5,0.5,8.83,6.79,9.25,32.87
Honduras,2009,7.25,0.5,6.63,5.63,6,26.01
Honduras,2010,8.04,0.5,6.17,5.42,9.04,29.17
Honduras,2011,8.38,0.5,8.13,5.5,9.5,32.01
Honduras,2012,8,0.5,8.5,6.08,9.17,32.25
Honduras,2013,8.29,0.5,8.46,5.71,8.75,31.71
Hong Kong,1984,6.96,2.6,5.21,5.21,7.81,27.79
Hong Kong,1985,7.96,2.92,5.83,5.83,8.75,31.29
Hong Kong,1986,9,3.13,6.25,6.25,9.38,34.01
Hong Kong,1987,8.75,3.26,6.53,6.53,9.79,34.86
Hong Kong,1988,7.5,2.92,5.83,5.83,8.75,30.83
Hong Kong,1989,7.04,2.5,5,5,7.5,27.04
Hong Kong,1990,5.54,1.25,2.5,2.5,3.75,15.54
Hong Kong,1991,6.88,1.91,3.82,3.82,5.73,22.16
Hong Kong,1992,7,2.85,5.7,5.7,8.54,29.79
Hong Kong,1993,6.92,2.92,5.83,5.83,8.75,30.25
Hong Kong,1994,7.38,2.92,5.83,5.83,8.75,30.71
Hong Kong,1995,7.5,2.6,5.21,5.21,7.81,28.33
Hong Kong,1996,7.75,2.78,5.63,5.63,8.44,30.23
Hong Kong,1997,8.21,3.72,7.26,6.76,10.02,35.97
Hong Kong,1998,8.54,5,5.71,7.88,10.83,37.96
Hong Kong,1999,9.67,4.48,3.79,6.54,12.96,37.44
Hong Kong,2000,10,5,9.13,6.5,13.38,44.01
Hong Kong,2001,10,5,8.21,9.25,12.83,45.29
Hong Kong,2002,10,5,6.88,10,13,44.88
Hong Kong,2003,10,5,7.92,6.67,14.5,44.09
Hong Kong,2004,10,5,9.75,5.63,14.63,45.01
Hong Kong,2005,10,4.63,9.5,7.21,14.21,45.55
Hong Kong,2006,9.88,4.58,9.25,8.25,14.88,46.84
Hong Kong,2007,9.71,5,9.5,8.5,14.88,47.59
Hong Kong,2008,8.88,4.5,9.04,9.17,14.29,45.88
Hong Kong,2009,9.88,4.5,2.63,6.83,14.21,38.05
Hong Kong,2010,9.92,4.5,4.17,7.42,14.92,40.93
Hong Kong,2011,9.33,4.5,9.92,9.33,14.33,47.41
Hong Kong,2012,8.83,4.5,8,8.33,13.5,43.16
Hong Kong,2013,8.75,4.5,8,8.75,13.25,43.25
Hungary,1984,NA,3.75,7.5,7.5,11.25,30
Hungary,1985,8,3.3,6.6,6.6,9.9,34.4
Hungary,1986,8.5,2.5,5,5,7.5,28.5
Hungary,1987,8.04,2.47,4.93,4.93,7.4,27.77
Hungary,1988,6.13,2.36,4.72,4.72,7.08,25.01
Hungary,1989,5.54,2.78,5.56,5.56,8.34,27.78
Hungary,1990,5,2.36,4.72,4.72,7.08,23.88
Hungary,1991,3.63,1.84,3.68,3.68,5.52,18.35
Hungary,1992,4.5,1.91,3.82,3.82,5.73,19.78
Hungary,1993,6.42,2.08,4.17,4.17,6.25,23.09
Hungary,1994,5.08,2.08,4.17,4.17,6.25,21.75
Hungary,1995,4.38,2.33,4.65,4.65,6.98,22.99
Hungary,1996,4.58,2.92,5.83,5.83,8.75,27.91
Hungary,1997,5.17,2.88,6.76,5.93,9.48,30.22
Hungary,1998,5.67,2.46,8.83,5.67,10.21,32.84
Hungary,1999,7.13,1.9,8.54,5.5,9.83,32.9
Hungary,2000,7.46,2.5,9.21,5.79,10,34.96
Hungary,2001,7.67,2.75,9.33,6,10.04,35.79
Hungary,2002,8.08,2.67,8.5,6,10.5,35.75
Hungary,2003,8.42,3,8.63,4.88,10.08,35.01
Hungary,2004,8.08,3.42,8.5,4.92,9.67,34.59
Hungary,2005,8.42,3.42,8.5,5.42,9,34.76
Hungary,2006,9.38,3.5,8.83,4.38,9.08,35.17
Hungary,2007,8.38,3.5,7.88,4.21,9.71,33.68
Hungary,2008,8.33,3.5,7.67,5.67,9.5,34.67
Hungary,2009,8.92,3.5,2.5,6,10.33,31.25
Hungary,2010,9,3.5,3,5.67,10.5,31.67
Hungary,2011,8.5,3.25,6,6.75,11.42,35.92
Hungary,2012,8.5,3,4.83,6.5,12.33,35.16
Hungary,2013,8.58,2.96,5.04,6,11.58,34.16
Iceland,1984,4,3.44,6.88,6.88,10.31,31.51
Iceland,1985,4.5,2.92,5.83,5.83,8.75,27.83
Iceland,1986,3.5,2.92,5.83,5.83,8.75,26.83
Iceland,1987,6.25,2.92,5.83,5.83,8.75,29.58
Iceland,1988,4.5,2.92,5.83,5.83,8.75,27.83
Iceland,1989,5.08,2.54,5.07,5.07,7.61,25.37
Iceland,1990,5.13,2.4,4.79,4.79,7.19,24.3
Iceland,1991,8,2.08,4.17,4.17,6.25,24.67
Iceland,1992,8,2.08,4.17,4.17,6.25,24.67
Iceland,1993,8.75,1.84,3.68,3.68,5.52,23.47
Iceland,1994,9,1.67,3.33,3.33,5,22.33
Iceland,1995,9.04,2.12,4.24,4.24,6.36,26
Iceland,1996,9.33,2.78,5.63,5.63,8.44,31.81
Iceland,1997,9.75,3.65,6.63,6.46,9.94,36.43
Iceland,1998,9.83,5,8.71,7.75,11.29,42.58
Iceland,1999,9.92,4.76,8.83,8,10.04,41.55
Iceland,2000,8.5,4.5,8.5,7,9.08,37.58
Iceland,2001,8.5,4.88,7.08,6.5,8.75,35.71
Iceland,2002,9.08,5,5.38,6.92,9.33,35.71
Iceland,2003,8.5,5,6.25,7.5,10.5,37.75
Iceland,2004,8.71,5,7.92,7.71,11.33,40.67
Iceland,2005,9,5,8.5,8,12.5,43
Iceland,2006,9,5,8.5,8,12.5,43
Iceland,2007,8.54,5,6.25,7.08,6.54,33.41
Iceland,2008,8.96,5,5.04,7,8.75,34.75
Iceland,2009,6.71,5,0.42,2.42,5.33,19.88
Iceland,2010,7.79,5,3.83,2.71,8.42,27.75
Iceland,2011,8,5,3,2.5,9,27.5
Iceland,2012,8.21,5,5.08,3.96,9.63,31.88
Iceland,2013,8.5,5,7.33,6.33,10.5,37.66
India,1984,6.46,2.71,5.42,5.42,8.13,28.14
India,1985,7.83,2.92,5.83,5.83,8.75,31.16
India,1986,8.5,2.92,5.83,5.83,8.75,31.83
India,1987,7.63,2.92,5.83,5.83,8.75,30.96
India,1988,6.58,2.92,5.83,5.83,8.75,29.91
India,1989,6.79,2.47,4.93,4.93,7.4,26.52
India,1990,6.5,2.01,4.03,4.03,6.04,22.61
India,1991,6.67,1.7,3.4,3.4,5.11,20.28
India,1992,6.5,2.08,4.17,4.17,6.25,23.17
India,1993,7,2.08,4.17,4.17,6.25,23.67
India,1994,7.13,2.29,4.58,4.58,6.88,25.46
India,1995,7,2.5,5,5,7.5,27
India,1996,7.25,2.5,5,5,7.5,27.25
India,1997,7.33,1.88,7.08,5.33,9.13,30.75
India,1998,7.83,0,9.46,5.21,10.54,33.04
India,1999,6.96,0.03,9.04,4.75,10.54,31.32
India,2000,8.25,0,9.92,4.58,10.83,33.58
India,2001,8.08,0,9.46,5,11,33.54
India,2002,8.5,0,9.5,5,11.5,34.5
India,2003,8.5,0,9.54,5,11.46,34.5
India,2004,8.63,0,10,5.04,12,35.67
India,2005,8.5,0,10,5.5,11.5,35.5
India,2006,8.5,0.92,10,5.63,10.5,35.55
India,2007,8.08,1,10,5.71,10.71,35.5
India,2008,8,0,10,6,8.58,32.58
India,2009,8.25,0,9.75,5,10.5,33.5
India,2010,7.42,0,10,4.38,11.13,32.93
India,2011,7.29,0,10,5,11.08,33.37
India,2012,7.75,0.25,9.96,4.54,10.5,33
India,2013,7.5,0.21,9.71,5,10.13,32.55
Indonesia,1984,5.5,2.71,5.42,5.42,8.13,27.18
Indonesia,1985,7,2.85,5.7,5.7,8.54,29.79
Indonesia,1986,7.5,2.12,4.24,4.24,6.36,24.46
Indonesia,1987,6.13,2.08,4.17,4.17,6.25,22.8
Indonesia,1988,7.46,2.08,4.17,4.17,6.25,24.13
Indonesia,1989,7.54,2.57,5.14,5.14,7.71,28.1
Indonesia,1990,8,3.47,6.95,6.95,10.42,35.79
Indonesia,1991,7.67,3.72,7.43,7.43,11.15,37.4
Indonesia,1992,7.5,2.95,5.9,5.9,8.86,31.11
Indonesia,1993,7.83,2.92,5.83,5.83,8.75,31.16
Indonesia,1994,7.63,2.64,5.28,5.28,7.92,28.75
Indonesia,1995,7.5,2.5,5,5,7.5,27.5
Indonesia,1996,7.71,3.09,6.18,6.18,9.27,32.43
Indonesia,1997,8.21,2.39,7.74,6.86,10,35.2
Indonesia,1998,3.75,0.5,3.13,6.5,9.5,23.38
Indonesia,1999,2.83,0.37,1.08,3.13,12.79,20.2
Indonesia,2000,8.92,0.5,7.83,5.13,12.58,34.96
Indonesia,2001,7.54,0.33,8.75,5.79,12.38,34.79
Indonesia,2002,7.5,0.38,8.5,5.5,12.5,34.38
Indonesia,2003,7.5,0.25,8.5,6.42,13.08,35.75
Indonesia,2004,7.71,0.5,9,6.79,13.29,37.29
Indonesia,2005,7.92,0.5,9.29,6.88,12.46,37.05
Indonesia,2006,6.5,0.5,9.5,7.21,12.33,36.04
Indonesia,2007,7.63,0.5,9.88,7,12.5,37.51
Indonesia,2008,7.75,0.5,9.88,7,12.88,38.01
Indonesia,2009,8.25,0.5,8.04,6.79,11.67,35.25
Indonesia,2010,8.5,0.5,9.13,6.5,12.21,36.84
Indonesia,2011,8.04,0.79,9.54,6.96,12.21,37.54
Indonesia,2012,8.42,1,9.5,6.75,11.5,37.17
Indonesia,2013,8.33,1,9.71,6.54,10.63,36.21
Iran,1984,5.42,2.08,4.17,4.17,6.25,22.09
Iran,1985,6,2.08,4.17,4.17,6.25,22.67
Iran,1986,6,2.08,4.17,4.17,6.25,22.67
Iran,1987,5.08,2.08,4.17,4.17,6.25,21.75
Iran,1988,4.33,2.01,4.03,4.03,6.04,20.44
Iran,1989,3.17,1.39,2.78,2.78,4.17,14.29
Iran,1990,3.5,1.74,3.47,3.47,5.21,17.39
Iran,1991,3.5,2.78,5.56,5.56,8.34,25.74
Iran,1992,4.42,2.36,4.72,4.72,7.08,23.3
Iran,1993,4,2.08,4.17,4.17,6.25,20.67
Iran,1994,5.42,2.08,4.17,4.17,6.25,22.09
Iran,1995,4.25,2.08,4.17,4.17,6.25,20.92
Iran,1996,3.38,2.19,4.38,4.38,6.56,20.89
Iran,1997,5.33,2.08,6.61,6.32,10.11,30.45
Iran,1998,5.33,0.79,7.71,7.63,12.88,34.34
Iran,1999,5,0.98,5.83,5.79,10.75,28.35
Iran,2000,5.33,1.5,8.5,6.5,12.54,34.37
Iran,2001,5.25,2.5,9.54,9,13.5,39.79
Iran,2002,5.67,2.88,8.75,9,12.08,38.38
Iran,2003,6.33,3,9.17,6.5,12.17,37.17
Iran,2004,6.17,1.67,9.33,6.5,11.67,35.34
Iran,2005,5.88,1,9.79,6.54,12.29,35.5
Iran,2006,5.75,2.25,9.5,5.67,13.92,37.09
Iran,2007,5.58,1.5,9.21,2.54,13.13,31.96
Iran,2008,5.04,1.08,9.5,7.67,14.79,38.08
Iran,2009,5.17,1.42,6.33,5.29,13.42,31.63
Iran,2010,6.46,1.5,6.88,6.5,12.75,34.09
Iran,2011,4.75,1.5,7.13,8.96,13.04,35.38
Iran,2012,4.67,1.88,5.08,6.58,12.58,30.79
Iran,2013,3.83,1.63,4.83,5,10.96,26.25
Iraq,1984,3.5,1.42,2.85,2.85,4.27,14.89
Iraq,1985,3.5,2.19,4.38,4.38,6.56,21.01
Iraq,1986,3.5,2.92,5.83,5.83,8.75,26.83
Iraq,1987,3.5,2.74,5.49,5.49,8.23,25.45
Iraq,1988,3.29,2.15,4.31,4.31,6.46,20.52
Iraq,1989,3.25,1.67,3.33,3.33,5,16.58
Iraq,1990,3.46,1.39,2.78,2.78,4.17,14.58
Iraq,1991,3,0.83,1.67,1.67,2.5,9.67
Iraq,1992,2.5,0.45,0.9,0.9,1.35,6.1
Iraq,1993,2.5,0.83,1.67,1.67,2.5,9.17
Iraq,1994,2.5,0.94,1.88,1.88,2.81,10.01
Iraq,1995,1.21,1.42,2.85,2.85,4.27,12.6
Iraq,1996,0.33,2.01,4.03,4.03,6.04,16.44
Iraq,1997,3,1.6,4.96,3.54,7.02,20.12
Iraq,1998,3.71,1.04,6.58,2.5,10.5,24.33
Iraq,1999,3,1.1,6.92,2.5,9.5,23.02
Iraq,2000,3.5,1.5,7.5,5,11,28.5
Iraq,2001,3.5,1.21,8,3.5,11.33,27.54
Iraq,2002,3.5,1.17,7.08,3.5,11,26.25
Iraq,2003,2.83,0.83,2.63,3,11.38,20.67
Iraq,2004,4.83,0.13,8.75,1.75,10.63,26.09
Iraq,2005,5.29,0,6.75,0.88,5.33,18.25
Iraq,2006,4.92,0.5,7.75,3.5,9.54,26.21
Iraq,2007,3.38,0.5,7.96,3.71,13.17,28.72
Iraq,2008,4.38,0.5,10,4.79,15,34.67
Iraq,2009,8.75,0.58,9.25,3.42,14.58,36.58
Iraq,2010,9.75,1.08,9.42,1.83,12.17,34.25
Iraq,2011,8.5,1.5,9.08,3.08,9.21,31.37
Iraq,2012,8.25,1.5,10,4.29,12.21,36.25
Iraq,2013,8.38,1.5,9.88,7.04,12.75,39.55
Ireland,1984,8.08,3.47,6.95,6.95,10.42,35.87
Ireland,1985,8,3.33,6.67,6.67,10,34.67
Ireland,1986,8,3.33,6.67,6.67,10,34.67
Ireland,1987,8.92,3.33,6.67,6.67,10,35.59
Ireland,1988,9,3.33,6.67,6.67,10,35.67
Ireland,1989,8.88,3.3,6.6,6.6,9.9,35.28
Ireland,1990,8.5,2.81,5.63,5.63,8.44,31.01
Ireland,1991,8.5,2.74,5.49,5.49,8.23,30.45
Ireland,1992,8.71,2.4,4.79,4.79,7.19,27.88
Ireland,1993,8.75,2.08,4.17,4.17,6.25,25.42
Ireland,1994,9.04,2.47,4.93,4.93,7.4,28.77
Ireland,1995,9,2.78,5.56,5.56,8.34,31.24
Ireland,1996,9.38,3.26,6.53,6.53,9.79,35.49
Ireland,1997,10,4.24,8.47,7.56,11.92,42.19
Ireland,1998,9.58,4.96,10,7.54,12.63,44.71
Ireland,1999,9.83,4.36,10,8.5,12.5,45.19
Ireland,2000,8.71,5,10,9.38,11.67,44.76
Ireland,2001,8.46,5,9.79,10,12.08,45.33
Ireland,2002,8.5,5,8.38,10,11.5,43.38
Ireland,2003,8.5,5,8.75,7.63,11.38,41.26
Ireland,2004,9.54,5,8.5,7.5,11.25,41.79
Ireland,2005,9.5,5,9.08,7.5,11,42.08
Ireland,2006,9.5,5,9.21,7.79,10.71,42.21
Ireland,2007,9,5,9.5,8,10,41.5
Ireland,2008,8.88,5,8.13,7.42,10,39.43
Ireland,2009,9.83,4.88,2.33,2.83,10.42,30.29
Ireland,2010,10,5,0.58,1.67,11.42,28.67
Ireland,2011,9.75,5,4.25,1.25,12,32.25
Ireland,2012,9.5,5,4.58,2.96,12.46,34.5
Ireland,2013,9.88,5,5.75,4.13,12.88,37.64
Israel,1984,0,2.29,4.58,4.58,6.88,18.33
Israel,1985,0,2.15,4.31,4.31,6.46,17.23
Israel,1986,1.67,2.57,5.14,5.14,7.71,22.23
Israel,1987,4.08,2.81,5.63,5.63,8.44,26.59
Israel,1988,5.25,2.43,4.86,4.86,7.29,24.69
Israel,1989,5.54,1.67,3.33,3.33,5,18.87
Israel,1990,5,1.67,3.33,3.33,5,18.33
Israel,1991,5.25,1.94,3.89,3.89,5.83,20.8
Israel,1992,5.04,2.92,5.83,5.83,8.75,28.37
Israel,1993,7,2.92,5.83,5.83,8.75,30.33
Israel,1994,7.17,2.92,5.83,5.83,8.75,30.5
Israel,1995,7.04,2.92,5.83,5.83,8.75,30.37
Israel,1996,7.04,2.5,5,5,7.5,27.04
Israel,1997,7.04,3.27,6.46,5.46,8.73,30.96
Israel,1998,8.38,4.46,7.79,6.5,10.42,37.55
Israel,1999,7.96,3.78,7.21,6.5,10.5,35.95
Israel,2000,9.42,4.5,8.54,6.5,10.54,39.5
Israel,2001,9.29,4.54,7.71,6,10.5,38.04
Israel,2002,9.42,4.54,6,6,10.5,36.46
Israel,2003,8.92,4.5,5.08,6,10.88,35.38
Israel,2004,10,4.29,7.96,5.71,11.71,39.67
Israel,2005,9.71,4,8.5,5.92,11.63,39.76
Israel,2006,9.38,4,8.88,6.46,12.25,40.97
Israel,2007,9.75,4,9.25,6.5,13.38,42.88
Israel,2008,9.29,4,9,7.42,12.79,42.5
Israel,2009,9.5,4.38,4.88,5.5,12.25,36.51
Israel,2010,9.33,4.5,8.08,5.42,12.92,40.25
Israel,2011,9,4.5,8.75,6,12.5,40.75
Israel,2012,9.38,4.5,7.88,6,11.5,39.26
Israel,2013,10,4.33,7.88,5.88,11.71,39.8
Italy,1984,6.88,3.54,7.08,7.08,10.63,35.21
Italy,1985,7.5,3.23,6.46,6.46,9.69,33.34
Italy,1986,7.63,3.2,6.39,6.39,9.59,33.2
Italy,1987,8.46,3.54,7.08,7.08,10.63,36.79
Italy,1988,8.17,3.09,6.18,6.18,9.27,32.89
Italy,1989,8.5,3.33,6.67,6.67,10,35.17
Italy,1990,8,3.13,6.25,6.25,9.38,33.01
Italy,1991,8,2.12,4.24,4.24,6.36,24.96
Italy,1992,8,1.98,3.96,3.96,5.94,23.84
Italy,1993,8.5,1.67,3.33,3.33,5,21.83
Italy,1994,8.5,2.05,4.1,4.1,6.15,24.9
Italy,1995,8.54,2.22,4.45,4.45,6.67,26.33
Italy,1996,8.54,2.78,5.56,5.56,8.34,30.78
Italy,1997,9.63,3.72,6.22,6.01,10.44,36.02
Italy,1998,9.67,4.96,7.21,6.17,13,41.01
Italy,1999,9.88,4.32,6.92,6.67,12.83,40.62
Italy,2000,9.58,5,8.04,7,12.29,41.91
Italy,2001,9.5,5,7.67,7,11.83,41
Italy,2002,9.58,5,6.54,6.92,11.5,39.54
Italy,2003,9.5,5,6.38,6.42,11.71,39.01
Italy,2004,9.5,5,6.5,6.5,11.08,38.58
Italy,2005,9.5,5,6.04,6.21,11,37.75
Italy,2006,9.5,5,6.5,5.71,11.04,37.75
Italy,2007,9.83,5,7,6.17,10.83,38.83
Italy,2008,9.79,4.5,6.21,6.5,10.5,37.5
Italy,2009,10,4.79,2.67,5.63,10.5,33.59
Italy,2010,10,5,3.71,5,10.5,34.21
Italy,2011,9.63,5,5.75,5.38,10.13,35.89
Italy,2012,9.42,4.5,3,6.5,10.58,34
Italy,2013,9.67,4.42,3.58,6.17,11.33,35.17
Jamaica,1984,5.79,1.81,3.61,3.61,5.42,20.24
Jamaica,1985,4,1.56,3.13,3.13,4.69,16.51
Jamaica,1986,4.17,1.25,2.5,2.5,3.75,14.17
Jamaica,1987,6.33,1.74,3.47,3.47,5.21,20.22
Jamaica,1988,8,2.5,5,5,7.5,28
Jamaica,1989,8,2.5,5,5,7.5,28
Jamaica,1990,5.92,2.54,5.07,5.07,7.61,26.21
Jamaica,1991,4,3.3,6.6,6.6,9.9,30.4
Jamaica,1992,3.25,3.3,6.6,6.6,9.9,29.65
Jamaica,1993,4.67,2.6,5.21,5.21,7.81,25.5
Jamaica,1994,5.58,2.5,5,5,7.5,25.58
Jamaica,1995,4.67,2.5,5,5,7.5,24.67
Jamaica,1996,4.38,2.5,5,5,7.5,24.38
Jamaica,1997,5.79,2.18,5.95,6.45,8.92,29.29
Jamaica,1998,6.38,1.54,7,7.08,10.33,32.33
Jamaica,1999,7.92,1.26,7,4,10.13,30.31
Jamaica,2000,8.08,1.5,4,3.96,10.5,28.04
Jamaica,2001,8,1.58,7.04,5,10.29,31.91
Jamaica,2002,8,2,7.38,5,9.54,31.92
Jamaica,2003,7.46,2.13,7.13,4.58,9.67,30.97
Jamaica,2004,6.63,1.67,6.92,5.33,8.54,29.09
Jamaica,2005,6.96,1.5,7.42,5,8.71,29.59
Jamaica,2006,6.92,1.5,7.5,6.25,8.33,30.5
Jamaica,2007,7.83,1.5,8.33,6.17,8.33,32.16
Jamaica,2008,6.71,1.5,7.92,6.13,8.04,30.3
Jamaica,2009,7,1.5,2.67,5.42,7.88,24.47
Jamaica,2010,7,1.5,2.79,3.17,9.29,23.75
Jamaica,2011,7.08,1.5,5.67,4.38,8.79,27.42
Jamaica,2012,7.83,1.5,6.17,4.5,8.33,28.33
Jamaica,2013,7.88,1.5,5.63,3.75,8,26.76
Japan,1984,9.5,4.58,9.17,9.17,13.75,46.17
Japan,1985,9.25,4.45,8.89,8.89,13.34,44.82
Japan,1986,10,4.17,8.34,8.34,12.5,43.35
Japan,1987,10,3.75,7.43,7.43,11.15,39.76
Japan,1988,9.38,4.17,8.34,8.34,12.5,42.73
Japan,1989,9.63,4.17,8.34,8.34,12.5,42.98
Japan,1990,9,3.68,7.36,7.36,11.04,38.44
Japan,1991,9,2.78,5.56,5.56,8.34,31.24
Japan,1992,9.29,2.19,4.38,4.38,6.56,26.8
Japan,1993,9.54,2.08,4.17,4.17,6.25,26.21
Japan,1994,10,2.26,4.51,4.51,6.77,28.05
Japan,1995,10,2.5,5,5,7.5,30
Japan,1996,10,2.74,5.49,5.49,8.23,31.95
Japan,1997,10,3.82,6.81,6.31,10.63,37.57
Japan,1998,9.79,5,6.5,6,12.67,39.96
Japan,1999,10,4.81,5.54,5.92,13,39.27
Japan,2000,10,5,6.63,4.17,13,38.8
Japan,2001,10,5,6.42,3.5,12.92,37.84
Japan,2002,10,5,4.58,3.5,12.71,35.79
Japan,2003,10,5,5.96,3.5,13,37.46
Japan,2004,10,5,7.67,3.96,13,39.63
Japan,2005,10,5,6.71,4.46,13,39.17
Japan,2006,10,5,7.83,4.54,13.29,40.66
Japan,2007,10,5,7.88,5.58,13.29,41.75
Japan,2008,10,5,6.33,6.5,13.25,41.08
Japan,2009,10,4.75,2.75,5.25,13,35.75
Japan,2010,10,4.75,7,3.75,13,38.5
Japan,2011,10,5,6.58,3.58,13,38.16
Japan,2012,10,5,6.29,3.33,12.83,37.45
Japan,2013,10,5,6.75,3.5,12.25,37.5
Jordan,1984,5,3.33,6.67,6.67,10,31.67
Jordan,1985,5,2.74,5.49,5.49,8.23,26.95
Jordan,1986,5,2.5,5,5,7.5,25
Jordan,1987,8.75,2.43,4.86,4.86,7.29,28.19
Jordan,1988,9.5,1.63,3.26,3.26,4.9,22.55
Jordan,1989,6.83,0.83,1.67,1.67,2.5,13.5
Jordan,1990,5.88,0.83,1.67,1.67,2.5,12.55
Jordan,1991,6,0.52,1.04,1.04,1.56,10.16
Jordan,1992,7.33,2.12,4.24,4.24,6.36,24.29
Jordan,1993,7.54,2.5,5,5,7.5,27.54
Jordan,1994,8.5,2.5,5,5,7.5,28.5
Jordan,1995,8.5,2.5,5,5,7.5,28.5
Jordan,1996,8.25,2.64,5.28,5.28,7.92,29.37
Jordan,1997,9.29,2.22,7.43,6.93,9.48,35.35
Jordan,1998,8.21,0.54,9.63,8.5,10.5,37.38
Jordan,1999,9.58,0.44,7.63,7.5,12.17,37.32
Jordan,2000,8.5,0.5,8.5,6,12,35.5
Jordan,2001,8.5,0.5,9,5.5,12.5,36
Jordan,2002,9.17,0.5,9,5.83,11.67,36.17
Jordan,2003,9,0.5,9.5,5.5,11.5,36
Jordan,2004,9,0.54,9.5,5.5,11.5,36.04
Jordan,2005,9,0.58,9.5,6,13.5,38.58
Jordan,2006,9,0.5,9.5,6,13.5,38.5
Jordan,2007,9,0.5,9.5,6,13.5,38.5
Jordan,2008,8.33,0.5,9.5,5.17,10.33,33.83
Jordan,2009,7.25,0.5,9.38,3.38,4.5,25.01
Jordan,2010,9.13,0.75,7.71,2.29,9.71,29.59
Jordan,2011,8.33,1,7.67,2.5,9.67,29.17
Jordan,2012,8,1,8,2.5,10,29.5
Jordan,2013,8,1,8,3.08,9.71,29.79
Kazakhstan,1984,NA,NA,NA,NA,NA,0
Kazakhstan,1985,NA,NA,NA,NA,NA,0
Kazakhstan,1986,NA,NA,NA,NA,NA,0
Kazakhstan,1987,NA,NA,NA,NA,NA,0
Kazakhstan,1988,NA,NA,NA,NA,NA,0
Kazakhstan,1989,NA,NA,NA,NA,NA,0
Kazakhstan,1990,NA,NA,NA,NA,NA,0
Kazakhstan,1991,NA,NA,NA,NA,NA,0
Kazakhstan,1992,NA,NA,NA,NA,NA,0
Kazakhstan,1993,NA,NA,NA,NA,NA,0
Kazakhstan,1994,NA,NA,NA,NA,NA,0
Kazakhstan,1995,NA,NA,NA,NA,NA,0
Kazakhstan,1996,NA,NA,NA,NA,NA,0
Kazakhstan,1997,NA,NA,NA,NA,NA,0
Kazakhstan,1998,7.44,NA,NA,NA,NA,7.44
Kazakhstan,1999,9.29,0.43,5.83,4.83,9.83,30.21
Kazakhstan,2000,5.96,0.5,7.5,3,10,26.96
Kazakhstan,2001,6.25,0.5,9.54,8,13.13,37.42
Kazakhstan,2002,7.88,1,10,8,10.92,37.8
Kazakhstan,2003,8,1,10,7.29,10.83,37.12
Kazakhstan,2004,8,1,10,7.92,11.79,38.71
Kazakhstan,2005,8,1,10,7.42,12,38.42
Kazakhstan,2006,8,1.71,10,7.71,12.5,39.92
Kazakhstan,2007,7.54,2,10,7.54,12.5,39.58
Kazakhstan,2008,5.67,2.33,10,7.04,10.42,35.46
Kazakhstan,2009,5.5,2.5,6.79,6.08,9.54,30.41
Kazakhstan,2010,7.79,2.38,8.08,5.71,12.46,36.42
Kazakhstan,2011,7.88,2.13,9.63,6.13,13.79,39.56
Kazakhstan,2012,8.29,2.67,9.54,6.5,13.46,40.46
Kazakhstan,2013,8.25,2.88,9.75,6.5,13.75,41.13
Kenya,1984,5.33,2.29,4.58,4.58,6.88,23.66
Kenya,1985,7.5,2.81,5.63,5.63,8.44,30.01
Kenya,1986,6.5,2.92,5.83,5.83,8.75,29.83
Kenya,1987,8.17,2.78,5.56,5.56,8.34,30.41
Kenya,1988,8.5,2.71,5.42,5.42,8.13,30.18
Kenya,1989,8,2.78,5.56,5.56,8.34,30.24
Kenya,1990,6.96,2.71,5.42,5.42,8.13,28.64
Kenya,1991,6,2.26,4.51,4.51,6.77,24.05
Kenya,1992,5.96,2.67,5.35,5.35,8.02,27.35
Kenya,1993,4.17,2.29,4.58,4.58,6.88,22.5
Kenya,1994,4.29,2.08,4.17,4.17,6.25,20.96
Kenya,1995,6.08,2.08,4.17,4.17,6.25,22.75
Kenya,1996,7.08,2.08,4.17,4.17,6.25,23.75
Kenya,1997,6.42,1.49,5.95,5.28,8.02,27.16
Kenya,1998,8.13,0,7.63,6.42,10.5,32.68
Kenya,1999,9.79,0,6.96,6.33,11.13,34.21
Kenya,2000,8.58,0,6.92,6.33,10.58,32.41
Kenya,2001,8.04,0,6.88,7,9.92,31.84
